gene,own_best_subclass,own_pct,own_mean_log2,best_anchor,anchor_pct,anchor_mean_log2,n_subclasses_ge50,level_verdict
Cntnap4,055 STR Lhx8 Gaba,100.0,9.22,052 Pvalb Gaba,95.9,8.34,38,strong in its own population
Cntnap5b,051 Pvalb chandelier Gaba,100.0,10.52,121 MEA-BST Otp Zic2 Glut,94.8,8.68,51,strong in its own population
Cobll1,332 SMC NN,93.2,8.34,073 MEA-BST Sox6 Gaba,11.8,0.67,9,strong in its own population
Coch,001 CLA-EPd-CTX Car3 Glut,63.4,3.97,006 L4/5 IT CTX Glut,56.7,3.43,3,usable in its own population
Col19a1,048 RHP-COA Ndnf Gaba,94.4,8.28,053 Sst Gaba,78.1,6.57,16,strong in its own population
Col1a1,330 VLMC NN,95.0,8.97,012 MEA Slc17a7 Glut,9.6,0.5,1,strong in its own population
Col23a1,012 MEA Slc17a7 Glut,80.2,5.81,012 MEA Slc17a7 Glut,80.2,5.81,5,strong in its own population
Col6a1,022 L5 ET CTX Glut,70.9,4.51,022 L5 ET CTX Glut,70.9,4.51,10,strong in its own population
Cort,052 Pvalb Gaba,62.0,4.8,052 Pvalb Gaba,62.0,4.8,2,usable in its own population
Cplx3,049 Lamp5 Gaba,89.3,7.0,049 Lamp5 Gaba,89.1,7.0,3,strong in its own population
Cpne4,001 CLA-EPd-CTX Car3 Glut,100.0,10.09,032 L5 NP CTX Glut,96.9,8.73,45,strong in its own population
Cpne6,026 NLOT Rho Glut,92.3,6.04,012 MEA Slc17a7 Glut,89.9,5.86,41,strong in its own population
Cpne8,050 Lamp5 Lhx6 Gaba,89.6,6.71,074 MEA-BST Lhx6 Sp9 Gaba,88.5,6.71,36,strong in its own population
Crem,005 L5 IT CTX Glut,64.1,3.86,005 L5 IT CTX Glut,64.1,3.86,14,usable in its own population
Crh,046 Vip Gaba,56.1,4.85,046 Vip Gaba,56.5,4.96,1,usable in its own population
Crhr1,006 L4/5 IT CTX Glut,65.5,4.04,006 L4/5 IT CTX Glut,65.5,4.04,3,usable in its own population
Cspg4,326 OPC NN,97.3,8.79,005 L5 IT CTX Glut,2.2,0.11,3,strong in its own population
Ctxn3,058 PAL-STR Gaba-Chol,32.5,1.77,120 MEA Otp Foxp2 Glut,15.8,0.91,0,too low to map reliably
Cux2,007 L2/3 IT CTX Glut,94.7,7.38,007 L2/3 IT CTX Glut,94.7,7.38,30,strong in its own population
Cwh43,001 CLA-EPd-CTX Car3 Glut,69.0,4.39,004 L6 IT CTX Glut,45.0,2.77,2,usable in its own population
Cx3cr1,334 Microglia NN,100.0,12.27,119 SI-MA-LPO-LHA Skor1 Glut,15.0,0.77,1,strong in its own population
Cyp1b1,330 VLMC NN,85.4,7.27,046 Vip Gaba,2.8,0.18,1,strong in its own population
Dcn,330 VLMC NN,99.3,10.88,004 L6 IT CTX Glut,6.8,0.43,1,strong in its own population
Deptor,059 GPe-SI Sox6 Cyp26b1 Gaba,93.0,6.56,006 L4/5 IT CTX Glut,54.7,3.5,9,strong in its own population
Dkk3,004 L6 IT CTX Glut,98.5,8.24,004 L6 IT CTX Glut,98.5,8.24,17,strong in its own population
Dlg4,013 COAp Grxcr2 Glut,100.0,7.77,022 L5 ET CTX Glut,99.2,8.11,64,strong in its own population
Dlx1,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,94.1,6.43,046 Vip Gaba,80.7,6.39,18,strong in its own population
Dnah5,013 COAp Grxcr2 Glut,58.3,3.23,012 MEA Slc17a7 Glut,48.4,2.76,1,usable in its own population
Dner,013 COAp Grxcr2 Glut,100.0,8.2,049 Lamp5 Gaba,99.7,9.71,59,strong in its own population
Dpy19l1,026 NLOT Rho Glut,97.9,7.19,004 L6 IT CTX Glut,89.5,6.45,40,strong in its own population
Dpyd,133 PVH-SO-PVa Otp Glut,100.0,9.73,113 MEA-COA-BMA Ccdc42 Glut,96.7,8.4,38,strong in its own population
Drd1,061 STR D1 Gaba,96.7,7.89,029 L6b CTX Glut,67.2,4.36,12,strong in its own population
